experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_false
negation	1	aff_intrans	11	101	Opa erzählt, dass es gestern einen Sturm gab. Das Haus ist beschädigt, sagt Opa zu Oma. Der Gartenzaun ist umgefallen.	Muss das Haus repariert werden?	ja	nein
negation	1	aff_trans	12	102	Opa erzählt, dass Emir und die anderen Schüler auf den Bus warten. Emir hat Geduld, sagt Opa zu Mama. Er spielt auf seinem Handy, während er wartet.	Wartet Emir gerne?	ja	nein
negation	1	neg_NP	13	103	Opa erzählt, dass Nehir und Selma jetzt Geigenstunden nehmen. Nehir hat keine Begabung, sagt Opa zu Papa. Die beiden üben jeden Mittwoch in der Musikschule.	Ist Nehir musikalisch?	nein	ja
negation	1	neg_VP	14	104	Opa erzählt, dass vor der Haustür ein Paket liegt. Das Paket ist nicht beschriftetet, sagt Opa zu Sara. Es ist sehr schwer.	Liegt vor der Haustür ein beschriftetes Paket?	nein	ja
negation	1	aff_intrans	11	105	Oma erzählt, dass vor dem Museum ein Soldat steht. Der Soldat ist bewaffnet, sagt Oma zu Lina. Seine Schicht beginnt immer morgens um 8 Uhr.	Kann der Soldat auf jemanden schießen?	ja	nein
negation	1	aff_trans	12	106	Oma erzählt, dass es einen Unfall auf dem Radweg gab. Der Radfahrer hat eine Verletzung, sagt Oma zu Mama. Die Leute fahren an dieser Stelle immer viel zu schnell.	Muss der Radfahrer ins Krankenhaus?	ja	nein
negation	1	neg_NP	13	107	Oma erzählt, dass die Stadt ein schäbiges Haus abreißen will. Das Haus hat keine Bewohner, sagt Oma zu Papa. Die Stadt will dort einen Spielplatz hinbauen.	Steht das Haus leer?	nein	ja
negation	1	neg_VP	14	108	Oma erzählt, dass Enno und Felix im Tattoo-Studio waren. Enno ist nicht tätowiert, sagt Oma zu Opa. Felix möchte sich tätowieren lassen.	Hat Enno ein Tattoo?	nein	ja
negation	1	aff_intrans	11	109	Mama erzählt, dass Ben und Theo im Fußballverein angefangen haben. Ben ist talentiert, sagt Mama zu Opa. Das Training findet immer dienstags statt.	Kann Ben gut Fußball spielen?	ja	nein
negation	1	aff_trans	12	110	Mama erzählt, dass es inzwischen schon früh dunkel wird. Die Straße hat eine Beleuchtung, sagt Mama zu Oma. Autofahren im Dunkeln ist gefährlich.	Ist es auf der Straße dunkel?	nein	ja
negation	1	neg_NP	13	111	Mama erzählt, dass Jan der Job gekündigt wurde. Die Kündigung hat keine Begründung, sagt Mama zu Milan. Jan muss sich jetzt einen neuen Job suchen.	Weiß Jan, warum er entlassen wurde?	nein	ja
negation	1	neg_VP	14	112	Mama erzählt, dass Azar im Winter in eine neue Wohnung gezogen ist. Die Wohnung ist nicht beheizt, sagt Mama zu Lina. Zu der Wohnung gehört auch ein Parkplatz.	Ist es in der Wohnung im Winter kalt?	ja	nein
negation	1	aff_intrans	11	113	Papa erzählt, dass Hannes sein Auto gegen einen Baum gefahren hat. Hannes ist versichert, sagt Papa zu Mama. Ihm ist zum Glück nichts passiert.	Bezahlt die Versicherung den Schaden?	ja	nein
negation	1	aff_trans	12	114	Papa erzählt, dass Yusuf sich ein gebrauchtes Handy gekauft hat. Das Handy hat einen Kratzer, sagt Papa zu Sara. Yusuf braucht jetzt noch ein passendes Ladekabel.	Ist das Display des Handys beschädigt?	ja	nein
negation	1	neg_NP	13	115	Papa erzählt, dass Julia schon seit Wochen ein Medikament nimmt. Das Medikament hat keine Wirkung, sagt Papa zu Milan. Nächste Woche hat Julia wieder einen Arzttermin.	Ist Julia noch so krank wie zuvor?	ja	nein
negation	1	neg_VP	14	116	Papa erzählt, dass die neue Straße jetzt einen Mittelstreifen hat. Der Mittelstreifen ist nicht begrünt, sagt Papa zu Lina. Die neue Straße wird am Montag eröffnet.	Gibt es Pflanzen auf dem Mittelstreifen?	nein	ja
negation	1	aff_intrans	11	117	Sara erzählt, dass Nele die Seite mit der Matheaufgabe sucht. Diese Seite ist nummeriert, sagt Sara zu Oma. Nele hasst Mathe.	Fehlt die Seitenzahl?	nein	ja
negation	1	aff_trans	12	118	Sara erzählt, dass Sergej sich ein Boot gekauft hat. Das Boot hat einen Motor, sagt Sara zu Papa. Sergej will nächsten Sonntag angeln gehen.	Muss Sergej sein Boot manchmal tanken?	ja	nein
negation	1	neg_NP	13	119	Sara erzählt, dass Herr Wagner einen Gartenstuhl auf der Terrasse hat. Der Gartenstuhl hat kein Polster, sagt Sara zu Mama. Herr Wagner möchte darauf seine Zeitung lesen.	Kann man auf dem Gartenstuhl weich sitzen?	nein	ja
negation	1	neg_VP	14	120	Sara erzählt, dass der Präsident in seiner Limousine unterwegs ist. Die Limousine ist nicht gepanzert, sagt Sara zu Milan. Der Präsident hat einen gefährlichen Job.	Ist der Präsident geschützt?	nein	ja
negation	1	aff_intrans	11	121	Lina erzählt, dass die Hacker Alissas Nachrichten im Chat lesen wollen. Der Chat ist verschlüsselt, sagt Lina zu Opa. Alissa hat Angst vor den Hackern.	Können die Hacker die Nachrichten lesen?	nein	ja
negation	1	aff_trans	12	122	Lina erzählt, dass Camila und ihre Tochter heute eine Laterne basteln. Camila hat Kreativität, sagt Lina zu Oma. Camilas Tochter freut sich schon auf die Laterne.	Wird Camilas Laterne langweilig?	nein	ja
