experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_false
negation	1	neg_NP	13	101	Opa erzählt, dass es gestern einen Sturm gab. Das Haus hat keinen Schaden, sagt Opa zu Oma. Der Gartenzaun ist umgefallen.	Muss das Haus repariert werden?	nein	ja
negation	1	neg_VP	14	102	Opa erzählt, dass Emir und die anderen Schüler auf den Bus warten. Emir ist nicht geduldig, sagt Opa zu Mama. Er spielt auf seinem Handy, während er wartet.	Wartet Emir gerne?	nein	ja
negation	1	aff_intrans	11	103	Opa erzählt, dass Nehir und Selma jetzt Geigenstunden nehmen. Nehir ist begabt, sagt Opa zu Papa. Die beiden üben jeden Mittwoch in der Musikschule.	Ist Nehir musikalisch?	ja	nein
negation	1	aff_trans	12	104	Opa erzählt, dass vor der Haustür ein Paket liegt. Das Paket hat eine Beschriftung, sagt Opa zu Sara. Es ist sehr schwer.	Liegt vor der Haustür ein beschriftetes Paket?	ja	nein
negation	1	neg_NP	13	105	Oma erzählt, dass vor dem Museum ein Soldat steht. Der Soldat hat keine Waffe, sagt Oma zu Lina. Seine Schicht beginnt immer morgens um 8 Uhr.	Kann der Soldat auf jemanden schießen?	nein	ja
negation	1	neg_VP	14	106	Oma erzählt, dass es einen Unfall auf dem Radweg gab. Der Radfahrer ist nicht verletzt, sagt Oma zu Mama. Die Leute fahren an dieser Stelle immer viel zu schnell.	Muss der Radfahrer ins Krankenhaus?	nein	ja
negation	1	aff_intrans	11	107	Oma erzählt, dass die Stadt ein schäbiges Haus abreißen will. Das Haus ist bewohnt, sagt Oma zu Papa. Die Stadt will dort einen Spielplatz hinbauen.	Steht das Haus leer?	ja	nein
negation	1	aff_trans	12	108	Oma erzählt, dass Enno und Felix im Tattoo-Studio waren. Enno hat ein Tattoo, sagt Oma zu Opa. Felix möchte sich tätowieren lassen.	Hat Enno ein Tattoo?	ja	nein
negation	1	neg_NP	13	109	Mama erzählt, dass Ben und Theo im Fußballverein angefangen haben. Ben hat kein Talent, sagt Mama zu Opa. Das Training findet immer dienstags statt.	Kann Ben gut Fußball spielen?	nein	ja
negation	1	neg_VP	14	110	Mama erzählt, dass es inzwischen schon früh dunkel wird. Die Straße ist nicht beleuchtet, sagt Mama zu Oma. Autofahren im Dunkeln ist gefährlich.	Ist es auf der Straße dunkel?	ja	nein
negation	1	aff_intrans	11	111	Mama erzählt, dass Jan der Job gekündigt wurde. Die Kündigung ist begründet, sagt Mama zu Milan. Jan muss sich jetzt einen neuen Job suchen.	Weiß Jan, warum er entlassen wurde?	ja	nein
negation	1	aff_trans	12	112	Mama erzählt, dass Azar im Winter in eine neue Wohnung gezogen ist. Die Wohnung hat eine Heizung, sagt Mama zu Lina. Zu der Wohnung gehört auch ein Parkplatz.	Ist es in der Wohnung im Winter kalt?	nein	ja
negation	1	neg_NP	13	113	Papa erzählt, dass Hannes sein Auto gegen einen Baum gefahren hat. Hannes hat keine Versicherung, sagt Papa zu Mama. Ihm ist zum Glück nichts passiert.	Bezahlt die Versicherung den Schaden?	nein	ja
negation	1	neg_VP	14	114	Papa erzählt, dass Yusuf sich ein gebrauchtes Handy gekauft hat. Das Handy ist nicht verkratzt, sagt Papa zu Sara. Yusuf braucht jetzt noch ein passendes Ladekabel.	Ist das Display des Handys beschädigt?	nein	ja
negation	1	aff_intrans	11	115	Papa erzählt, dass Julia schon seit Wochen ein Medikament nimmt. Das Medikament ist wirksam, sagt Papa zu Milan. Nächste Woche hat Julia wieder einen Arzttermin.	Ist Julia so noch krank wie zuvor?	nein	ja
negation	1	aff_trans	12	116	Papa erzählt, dass die neue Straße jetzt einen Mittelstreifen hat. Der Mittelstreifen hat eine Begrünung, sagt Papa zu Lina. Die neue Straße wird am Montag eröffnet.	Gibt es Pflanzen auf dem Mittelstreifen?	ja	nein
negation	1	neg_NP	13	117	Sara erzählt, dass Nele die Seite mit der Matheaufgabe sucht. Diese Seite hat keine Nummer, sagt Sara zu Oma. Nele hasst Mathe.	Fehlt die Seitenzahl?	ja	nein
negation	1	neg_VP	14	118	Sara erzählt, dass Sergej sich ein Boot gekauft hat. Das Boot ist nicht motorisiert, sagt Sara zu Papa. Sergej will nächsten Sonntag angeln gehen.	Muss Sergej sein Boot manchmal tanken?	nein	ja
negation	1	aff_intrans	11	119	Sara erzählt, dass Herr Wagner einen Gartenstuhl auf der Terrasse hat. Der Gartenstuhl ist gepolstert, sagt Sara zu Mama. Herr Wagner möchte darauf seine Zeitung lesen.	Kann man auf dem Gartenstuhl weich sitzen?	ja	nein
